train_loss,val_loss,train_acc,val_acc
0.921402749262358,0.8286096692085266,54.90848585690516,85.27131782945736
0.5783810050863969,0.5495900630950927,83.19467554076539,88.37209302325581
0.3649795769076598,0.4536574989557266,92.51247920133112,93.02325581395348
0.2590150448836778,0.39821761548519136,95.00831946755407,93.7984496124031
0.19839530947961306,0.3847163379192352,96.67221297836939,93.7984496124031
0.1486294575427708,0.40215110033750534,96.67221297836939,94.57364341085271
0.12486874527837101,0.3727172419428825,97.50415973377704,95.34883720930233
0.09690968515841585,0.6088569924235344,98.33610648918469,94.57364341085271
0.08455538024243556,0.5861051961779594,98.33610648918469,93.7984496124031
0.08869967315542071,0.304768705368042,98.00332778702163,93.7984496124031
0.05498525265016054,0.3495138496160507,99.16805324459234,93.7984496124031
0.05648525000402802,0.41816365122795107,98.83527454242929,93.7984496124031
0.04896522244732631,0.5466036289930344,99.00166389351081,94.57364341085271
0.028976656202422946,0.7508678652346135,99.66722129783693,94.57364341085271
0.05544611404796964,0.7397140398621559,98.16971713810317,94.57364341085271
0.024181873733667952,0.8174683734774589,99.83361064891847,92.24806201550388
0.02064287569373846,0.8316480055451393,99.83361064891847,92.24806201550388
0.027856813743710518,0.8748032957315445,99.33444259567388,93.02325581395348
0.026715261567580074,0.7834355115890503,99.50083194675541,92.24806201550388
0.015044637146945062,0.6406002789735794,99.83361064891847,92.24806201550388
0.026141534878039045,0.488949316740036,99.33444259567388,93.7984496124031
0.03651116749173716,0.5797629922628402,98.50249584026622,93.7984496124031
0.02123208415057314,0.7083817973732949,99.50083194675541,93.7984496124031
0.023152176940225457,0.5222785204648972,99.33444259567388,94.57364341085271
0.011547394305173504,0.5973859176039695,99.83361064891847,94.57364341085271
0.01323239323928168,0.5920220091938972,99.66722129783693,94.57364341085271
0.02368310568118958,0.5275747463107109,99.66722129783693,93.02325581395348
0.025251858990247313,0.5261762097477913,99.00166389351081,94.57364341085271
0.019778061927737373,0.3718843385577202,99.66722129783693,93.7984496124031
0.03677341078506097,0.5576615780591965,98.83527454242929,93.7984496124031
