Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Synthesis Of DNA R-HSA-69239,1/119,0.9999955707772404,0.999996464736758,0,0,0.0254459091017665,1.1270584933393165e-07,UBE2C
Reactome_2022,Estrogen-dependent Gene Expression R-HSA-9018519,1/119,0.9999955707772404,0.999996464736758,0,0,0.0254459091017665,1.1270584933393165e-07,MYC
Reactome_2022,Signaling By TGFB Family Members R-HSA-9006936,1/119,0.9999955707772404,0.999996464736758,0,0,0.0254459091017665,1.1270584933393165e-07,MYC
Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,7/108,0.9999955919521636,0.999996464736758,0,0,0.2085913691147385,9.194827599072488e-07,RPL5;RPS14;RPL3;RPS7;RPS6;RPL11;RPS3
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,7/108,0.9999955919521636,0.999996464736758,0,0,0.2085913691147385,9.194827599072488e-07,RPL5;RPS14;RPL3;RPS7;RPS6;RPL11;RPS3
Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,7/109,0.9999956028261736,0.999996464736758,0,0,0.2065325223014019,9.081613980346516e-07,RPL5;RPS14;RPL3;RPS7;RPS6;RPL11;RPS3
Reactome_2022,Selenoamino Acid Metabolism R-HSA-2408522,7/114,0.99999560285093,0.999996464736758,0,0,0.1968155350048132,8.654291494353862e-07,RPL5;RPS14;RPL3;RPS7;RPS6;RPL11;RPS3
Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,7/112,0.9999956107693598,0.999996464736758,0,0,0.2005912786400591,8.804433185930655e-07,RPL5;RPS14;RPL3;RPS7;RPS6;RPL11;RPS3
Reactome_2022,Mitotic Prophase R-HSA-68875,2/112,0.9999956558903376,0.999996464736758,0,0,0.0546333247903928,2.3733366962109185e-07,CCNB1;CDK1
Reactome_2022,Golgi-to-ER Retrograde Transport R-HSA-8856688,1/112,0.9999956558907712,0.999996464736758,0,0,0.0270633024810596,1.1756619743268524e-07,KIF20A
Reactome_2022,NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,1/48,0.9999956652511246,0.999996464736758,0,0,0.0641896088653196,2.782464379060181e-07,MYC
Reactome_2022,Mitotic Spindle Checkpoint R-HSA-69618,3/110,0.9999956810247292,0.999996464736758,0,0,0.0842815597029675,3.640107582151761e-07,CENPF;UBE2C;BIRC5
Reactome_2022,Assembly Of Pre-Replicative Complex R-HSA-68867,1/110,0.9999956810392114,0.999996464736758,0,0,0.0275635709443796,1.1904623917975423e-07,UBE2C
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,2/107,0.9999957194609426,0.999996464736758,0,0,0.0572540897148227,2.4507889175732853e-07,MYC;BIRC5
Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,4/106,0.9999957319317676,0.999996464736758,0,0,0.1179472594839708,5.034080256051895e-07,CCNB1;CENPF;CDK1;BIRC5
Reactome_2022,MHC Class II Antigen Presentation R-HSA-2132295,1/104,0.9999957587599316,0.999996464736758,0,0,0.0291809437432686,1.2376365029590394e-07,KIF20A
Reactome_2022,KEAP1-NFE2L2 Pathway R-HSA-9755511,1/100,0.9999958127764786,0.999996464736758,0,0,0.0303681062690525,1.2715831508917294e-07,MYC
